Campus,Hispanic,"American Indian- Alaska Native",Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,"Two or More"
Stafford Middle School,14.50%,0.74%,26.05%,18.59%,0.21%,34.77%,5.15%
Staley Middle School,36.90%,0.34%,6.72%,15.34%,0.17%,35.34%,5.17%
Tadlock Elementary School,13.27%,0.35%,27.08%,17.17%,0.00%,33.98%,8.14%
Talley Elementary School,2.22%,1.43%,88.91%,2.54%,0.00%,3.49%,1.43%
Taylor Elementary School,8.74%,0.52%,57.37%,13.30%,0.00%,15.38%,4.69%
Trent Middle School,12.48%,0.44%,30.18%,13.63%,0.18%,37.96%,5.13%
Vandeventer Middle School,7.62%,0.76%,47.77%,11.21%,0.00%,28.84%,3.81%
Vaughn Elementary School,10.14%,0.43%,34.57%,11.14%,0.14%,37.14%,6.43%
Wakeland High School,12.12%,0.38%,11.55%,3.91%,0.00%,67.35%,4.68%
Wester Middle School,15.02%,0.50%,23.28%,10.01%,0.00%,45.81%,5.38%
Total FISD,12.86%,0.58%,36.76%,11.11%,0.06%,33.71%,4.91%
